frame_num,timestamp (sec),track_2_right_ankle.x,track_2_right_ankle.y,track_2_right_ankle.z,track_2_right_knee.x,track_2_right_knee.y,track_2_right_knee.z,track_2_right_hip.x,track_2_right_hip.y,track_2_right_hip.z,track_2_right_wrist.x,track_2_right_wrist.y,track_2_right_wrist.z,track_2_right_elbow.x,track_2_right_elbow.y,track_2_right_elbow.z,track_2_right_shoulder.x,track_2_right_shoulder.y,track_2_right_shoulder.z,track_2_left_ankle.x,track_2_left_ankle.y,track_2_left_ankle.z,track_2_left_knee.x,track_2_left_knee.y,track_2_left_knee.z,track_2_left_hip.x,track_2_left_hip.y,track_2_left_hip.z,track_2_left_wrist.x,track_2_left_wrist.y,track_2_left_wrist.z,track_2_left_elbow.x,track_2_left_elbow.y,track_2_left_elbow.z,track_2_left_shoulder.x,track_2_left_shoulder.y,track_2_left_shoulder.z,track_2_head_top.x,track_2_head_top.y,track_2_head_top.z,track_2_head.x,track_2_head.y,track_2_head.z,track_2_neck.x,track_2_neck.y,track_2_neck.z,track_2_spine.x,track_2_spine.y,track_2_spine.z,track_2_pelvis.x,track_2_pelvis.y,track_2_pelvis.z,track_2_right_toe_base.x,track_2_right_toe_base.y,track_2_right_toe_base.z,track_2_right_heel.x,track_2_right_heel.y,track_2_right_heel.z,track_2_left_toe_base.x,track_2_left_toe_base.y,track_2_left_toe_base.z,track_2_left_heel.x,track_2_left_heel.y,track_2_left_heel.z
10,0.2,-1165.7368,1206.8083,6558.259,-1054.9845,813.9138,6599.3145,-1110.2645,396.97488,6603.641,-972.36206,187.33862,6607.417,-1101.9489,165.26164,6434.185,-1102.2067,-99.62654,6522.6562,-1217.4365,1203.3174,6702.7046,-1191.0349,811.9524,6733.2217,-1167.7722,395.34897,6757.8804,-1037.4645,180.28279,6837.08,-1220.9413,142.56108,6907.4272,-1180.231,-115.680176,6838.194,-1074.4484,-429.9771,6673.263,-1085.5096,-285.2651,6680.774,-1119.679,-175.56284,6676.912,-1160.4626,158.7851,6676.5713,-1160.6625,319.41782,6676.0913,-1045.6285,1280.8668,6536.787,-1198.635,1270.7299,6559.039,-1091.9008,1271.8329,6755.6816,-1236.8555,1266.7052,6687.555
11,0.22,-1164.289,1205.925,6558.848,-1052.3284,813.56305,6600.2773,-1108.2646,396.84647,6604.7524,-971.91315,188.02135,6607.79,-1101.6399,165.2245,6434.316,-1101.3317,-99.228905,6523.024,-1218.504,1202.657,6702.176,-1189.66,811.1382,6733.8047,-1166.5477,394.95972,6758.4595,-1036.9385,179.73734,6839.219,-1219.0687,142.2819,6908.6514,-1178.1622,-115.95852,6839.312,-1072.3313,-429.75082,6674.13,-1083.7592,-285.1758,6681.698,-1118.1058,-175.40749,6677.751,-1158.8801,158.81905,6677.4644,-1159.1566,319.24832,6676.899,-1045.7639,1280.489,6536.4644,-1196.9294,1269.625,6559.6357,-1093.682,1271.6222,6755.1763,-1238.248,1265.8469,6686.8784
12,0.24,-1163.8501,1205.3597,6559.2876,-1050.1846,813.4528,6600.87,-1106.2961,396.4676,6605.66,-969.86676,188.68805,6609.2407,-1099.9147,164.54214,6435.7476,-1099.0604,-99.264275,6523.9805,-1218.8221,1202.1857,6701.9253,-1188.0846,810.5017,6734.3574,-1165.0905,394.41254,6758.888,-1034.2418,179.4949,6838.5615,-1218.6815,141.42563,6908.303,-1176.8546,-116.45948,6839.8794,-1069.8273,-429.6838,6674.6514,-1081.9279,-285.18784,6682.6284,-1116.4025,-175.40454,6678.5967,-1156.9467,158.59271,6678.4775,-1157.5696,318.75775,6677.6045,-1046.2844,1280.3783,6536.6167,-1196.4718,1268.8524,6559.863,-1094.355,1271.6125,6755.343,-1239.0522,1265.312,6686.5566
13,0.26,-1164.441,1205.278,6559.3486,-1049.0702,813.712,6601.367,-1104.5311,396.07593,6606.6084,-966.42206,188.67455,6611.662,-1097.6034,164.11275,6437.731,-1095.6888,-99.35103,6525.391,-1218.2144,1201.949,6702.051,-1186.7103,810.4874,6734.872,-1163.6276,393.91943,6759.14,-1030.9957,179.92366,6836.6255,-1218.8231,140.51869,6907.076,-1176.5752,-116.82701,6839.822,-1067.3232,-429.80792,6675.328,-1080.1362,-285.22165,6683.6016,-1114.7242,-175.60591,6679.3643,-1154.975,158.10219,6679.2437,-1156.0609,318.16608,6678.14,-1046.6742,1280.6029,6537.289,-1197.3607,1268.6863,6559.5737,-1093.6196,1271.7251,6755.986,-1238.9498,1265.1664,6686.6807
14,0.28,-1165.1649,1205.365,6559.222,-1048.6873,814.1336,6602.024,-1103.055,396.0833,6607.6675,-964.29987,187.99118,6613.187,-1095.8588,164.44698,6438.541,-1092.3303,-99.02369,6526.6255,-1217.3219,1201.7437,6702.418,-1185.8204,810.8408,6735.3057,-1162.4393,393.8327,6759.2383,-1029.0393,180.79263,6835.8955,-1218.02,140.35149,6906.616,-1176.6254,-116.84124,6839.549,-1065.2007,-429.96066,6676.3545,-1078.3778,-285.20486,6684.56,-1113.0906,-175.84213,6680.013,-1153.2644,157.7159,6679.598,-1154.6868,317.9057,6678.5684,-1046.3273,1280.8589,6538.077,-1198.561,1268.8136,6559.2305,-1093.2927,1271.5576,6757.046,-1238.3379,1265.122,6686.9644
15,0.3,-1165.2227,1205.1346,6559.2515,-1048.1147,814.4817,6602.9917,-1101.7633,396.5155,6608.5283,-964.18384,187.2131,6613.4053,-1094.099,164.99706,6438.252,-1089.5638,-98.453804,6527.4927,-1216.9713,1201.4462,6702.7056,-1185.3727,810.9388,6735.5083,-1161.525,394.24677,6759.2153,-1028.6373,181.55922,6837.581,-1216.0905,141.25313,6907.7695,-1175.9355,-116.598404,6839.62,-1063.6261,-430.09583,6677.405,-1076.5793,-285.20584,6685.397,-1111.3596,-175.95438,6680.626,-1151.7612,157.71532,6679.7856,-1153.3027,318.1197,6678.9556,-1045.2046,1280.9009,6538.8965,-1199.0289,1268.734,6559.211,-1093.8196,1271.2927,6757.5703,-1237.886,1264.954,6687.008
16,0.32,-1164.7207,1204.4584,6559.5474,-1046.4573,814.808,6604.382,-1100.3503,396.85025,6608.854,-964.11096,187.89569,6614.0767,-1091.1849,165.02417,6438.406,-1087.1887,-98.26018,6528.456,-1217.3744,1201.1508,6702.5947,-1185.0397,810.58777,6735.3857,-1160.5739,394.67868,6759.164,-1029.0511,182.10216,6841.2017,-1214.5575,142.47278,6909.493,-1174.068,-116.38479,6840.298,-1062.4062,-430.31277,6678.104,-1074.6853,-285.33472,6686.114,-1109.4167,-175.99957,6681.3525,-1150.132,157.86162,6680.168,-1151.7,318.38495,6679.318,-1044.12,1280.8191,6539.9673,-1198.663,1268.2872,6559.368,-1095.1315,1270.8175,6757.3867,-1237.9104,1264.7233,6686.589
17,0.34,-1164.1356,1203.6302,6560.0273,-1043.4475,815.2592,6606.143,-1098.4982,396.59637,6608.731,-962.2387,188.42241,6615.966,-1087.6416,164.65417,6439.413,-1084.8688,-98.68267,6529.807,-1218.0282,1200.9933,6702.0723,-1184.5071,810.19763,6735.1436,-1159.4203,394.47607,6759.208,-1029.9696,183.20222,6845.586,-1214.5988,143.46169,6910.228,-1171.7285,-116.39571,6841.3022,-1061.035,-430.5643,6678.48,-1072.7175,-285.54312,6686.7964,-1107.3014,-176.122,6682.2275,-1148.1438,157.71443,6680.8164,-1149.8088,318.1552,6679.6655,-1043.9197,1280.7543,6541.137,-1197.9386,1267.6338,6559.4766,-1096.4426,1270.5403,6756.699,-1238.207,1264.5549,6685.8584
18,0.36,-1163.3146,1202.9006,6560.678,-1039.6172,815.73816,6607.9,-1096.2249,395.91223,6608.62,-958.85913,188.969,6618.112,-1084.924,164.5047,6440.39,-1082.4658,-99.36848,6531.2866,-1218.4672,1200.9098,6701.522,-1183.8074,810.1426,6735.184,-1158.3317,393.66147,6759.323,-1030.7882,183.28325,6849.25,-1214.7607,143.94232,6909.95,-1169.9436,-116.63747,6842.0913,-1059.0255,-430.6089,6678.894,-1070.7053,-285.64944,6687.4985,-1105.1353,-176.31105,6683.1113,-1145.8784,157.2598,6681.558,-1147.8309,317.44962,6679.9956,-1044.2594,1280.5814,6541.834,-1197.0037,1266.837,6559.686,-1097.1733,1270.5537,6755.864,-1238.5958,1264.3357,6685.2876
19,0.38,-1161.6838,1202.1129,6561.6064,-1035.7461,816.01764,6609.2007,-1094.0873,395.33014,6608.831,-954.89594,189.8191,6619.999,-1083.1951,164.67216,6441.0806,-1080.083,-99.94111,6532.6646,-1218.7747,1200.7533,6701.3726,-1183.2678,810.33435,6735.639,-1157.6718,392.95233,6759.285,-1030.0187,182.61293,6850.735,-1214.6351,144.14282,6909.0376,-1168.6595,-117.01125,6842.4736,-1056.3286,-430.3273,6679.5317,-1068.5822,-285.55923,6688.2017,-1102.9751,-176.41061,6683.871,-1143.7114,156.8691,6682.2876,-1146.2239,316.7742,6680.2495,-1043.949,1280.1244,6542.0513,-1195.6798,1265.6661,6560.244,-1097.3138,1270.6458,6755.2285,-1239.2649,1263.9001,6685.237
